  #K-Path    Energy        Mo        Au         S        Si         C         O
# Band-Index    1
    0.000  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.019  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.038  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.057  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.076  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.095  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.114  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.133  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.152  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.171  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.190  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.209  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.228  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.228  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.239  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.250  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.261  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.272  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.283  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.294  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.305  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.316  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.327  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.338  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.349  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.360  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.360  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.382  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.404  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.426  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.449  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.471  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.493  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.515  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
    0.537  -24.2110     0.000     0.000     0.000     0.000     0.284     0.679
